SWC_ID,SWC_Title,SWE_ID,SWE_Title,CWE_ID,CWE_Title,Severity,Description,References
# Smart Contract Vulnerability Taxonomy Mapping
# Author: Fernando Boiero - UNDEF
# Created: 2025-01-19
# Sources: SWC Registry (2020), SWE 2023, CWE v4.13
SWC-100,Function Default Visibility,SWE-100,Unprotected Function,CWE-710,Improper Adherence to Coding Standards,Medium,Functions without explicit visibility can be called externally,"SWC Registry (2020), SWE 2023, CWE v4.13"
SWC-101,Integer Overflow and Underflow,SWE-101,Arithmetic Issues,CWE-190,Integer Overflow or Wraparound,High,Arithmetic operations without overflow checks,"SWC Registry (2020), SWE 2023, CWE-190, CWE-191"
SWC-102,Outdated Compiler Version,SWE-102,Compiler Version Issues,CWE-1104,Use of Unmaintained Third Party Components,Low,Using old Solidity compiler with known bugs,"SWC Registry (2020), SWE 2023"
SWC-103,Floating Pragma,SWE-103,Pragma Issues,CWE-710,Improper Adherence to Coding Standards,Informational,Contracts should use fixed compiler version,"SWC Registry (2020), SWE 2023"
SWC-104,Unchecked Call Return Value,SWE-104,Unchecked External Calls,CWE-252,Unchecked Return Value,High,Low-level calls (.call .send .delegatecall) without checking return value,"SWC Registry (2020), SWE 2023, CWE-252"
SWC-105,Unprotected Ether Withdrawal,SWE-105,Access Control Issues,CWE-284,Improper Access Control,Critical,Functions that withdraw Ether without access control,"SWC Registry (2020), SWE 2023, CWE-284"
SWC-106,Unprotected SELFDESTRUCT Instruction,SWE-106,Self-Destruct Issues,CWE-284,Improper Access Control,Critical,SELFDESTRUCT without proper access control,"SWC Registry (2020), SWE 2023"
SWC-107,Reentrancy,SWE-107,Reentrancy Attacks,CWE-841,Improper Enforcement of Behavioral Workflow,Critical,State changes after external calls allow reentrant attacks,"SWC Registry (2020), SWE 2023, CWE-841, CWE-1265"
SWC-108,State Variable Default Visibility,SWE-108,Unprotected State Variables,CWE-710,Improper Adherence to Coding Standards,Low,State variables without explicit visibility,"SWC Registry (2020), SWE 2023"
SWC-109,Uninitialized Storage Pointer,SWE-109,Storage Pointer Issues,CWE-824,Access of Uninitialized Pointer,High,Using uninitialized storage pointers,"SWC Registry (2020), SWE 2023, CWE-824"
SWC-110,Assert Violation,SWE-110,Assertion Failures,CWE-670,Always-Incorrect Control Flow Implementation,Medium,Assert statements that can be violated,"SWC Registry (2020), SWE 2023"
SWC-111,Use of Deprecated Solidity Functions,SWE-111,Deprecated Functions,CWE-477,Use of Obsolete Function,Low,"Using deprecated functions (e.g., throw, suicide)","SWC Registry (2020), SWE 2023, CWE-477"
SWC-112,Delegatecall to Untrusted Callee,SWE-112,Unsafe Delegatecall,CWE-829,Inclusion of Functionality from Untrusted Control Sphere,Critical,Delegatecall to user-controlled address,"SWC Registry (2020), SWE 2023, CWE-829"
SWC-113,DoS with Failed Call,SWE-113,Denial of Service,CWE-703,Improper Check or Handling of Exceptional Conditions,Medium,Unbounded operations that can cause DoS,"SWC Registry (2020), SWE 2023"
SWC-114,Transaction Order Dependence (Front Running),SWE-114,Front-Running Attacks,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization,High,Transactions vulnerable to miner front-running,"SWC Registry (2020), SWE 2023, CWE-362, CWE-366"
SWC-115,Authorization through tx.origin,SWE-115,Origin Authentication Issues,CWE-477,Use of Obsolete Function,Medium,Using tx.origin for authorization,"SWC Registry (2020), SWE 2023"
SWC-116,Block values as a proxy for time,SWE-116,Timestamp Dependence,CWE-829,Inclusion of Functionality from Untrusted Control Sphere,Low,Using block.timestamp or block.number for critical logic,"SWC Registry (2020), SWE 2023"
SWC-117,Signature Malleability,SWE-117,Cryptographic Issues,CWE-347,Improper Verification of Cryptographic Signature,Medium,ECDSA signatures without malleability protection,"SWC Registry (2020), SWE 2023, CWE-347"
SWC-118,Incorrect Constructor Name,SWE-118,Constructor Issues,CWE-665,Improper Initialization,High,Constructor name does not match contract name (Solidity <0.5.0),"SWC Registry (2020), SWE 2023"
SWC-119,Shadowing State Variables,SWE-119,Variable Shadowing,CWE-710,Improper Adherence to Coding Standards,Medium,Child contracts shadowing parent variables,"SWC Registry (2020), SWE 2023"
SWC-120,Weak Sources of Randomness,SWE-120,Weak Randomness,CWE-330,Use of Insufficiently Random Values,High,Using block variables for randomness,"SWC Registry (2020), SWE 2023, CWE-330, CWE-338"
SWC-121,Missing Protection against Signature Replay Attacks,SWE-121,Replay Attacks,CWE-294,Authentication Bypass by Capture-replay,High,Signatures without nonce or replay protection,"SWC Registry (2020), SWE 2023, CWE-294"
SWC-122,Lack of Proper Signature Verification,SWE-122,Signature Verification Issues,CWE-347,Improper Verification of Cryptographic Signature,High,Insufficient signature validation,"SWC Registry (2020), SWE 2023"
SWC-123,Requirement Violation,SWE-123,Logic Errors,CWE-754,Improper Check for Unusual or Exceptional Conditions,Medium,Requirements that can be violated,"SWC Registry (2020), SWE 2023"
SWC-124,Write to Arbitrary Storage Location,SWE-124,Arbitrary Storage Write,CWE-123,Write-what-where Condition,Critical,Uncontrolled storage writes,"SWC Registry (2020), SWE 2023, CWE-123"
SWC-125,Incorrect Inheritance Order,SWE-125,Inheritance Issues,CWE-696,Incorrect Behavior Order,Medium,Multiple inheritance with incorrect C3 linearization,"SWC Registry (2020), SWE 2023"
SWC-126,Insufficient Gas Griefing,SWE-126,Gas Issues,CWE-400,Uncontrolled Resource Consumption,Medium,Contracts vulnerable to gas griefing attacks,"SWC Registry (2020), SWE 2023"
SWC-127,Arbitrary Jump with Function Type Variable,SWE-127,Control Flow Issues,CWE-695,Use of Low-Level Functionality,High,Uncontrolled function pointer jumps,"SWC Registry (2020), SWE 2023"
SWC-128,DoS With Block Gas Limit,SWE-128,Gas Limit DoS,CWE-400,Uncontrolled Resource Consumption,Medium,Unbounded loops exceeding block gas limit,"SWC Registry (2020), SWE 2023"
SWC-129,Typographical Error,SWE-129,Coding Errors,CWE-480,Use of Incorrect Operator,Low,Typos in comparison operators (= vs ==),"SWC Registry (2020), SWE 2023, CWE-480"
